filename,Solve,Parse,ProofTerm,Steps
../smt-lib/LRA/scholl-smt08/RND/RND_4_7.smt2,0.046,1.770,Proofterm: 1.255,720
../smt-lib/LRA/scholl-smt08/RND/RND_3_28.smt2,1.259,1.633,Proofterm: 3.752,4250
../smt-lib/LRA/scholl-smt08/RND/RND_4_30.smt2,9.711,1.962,Proofterm: 8.631,9933
../smt-lib/LRA/scholl-smt08/RND/RND_4_2.smt2,0.490,1.392,Proofterm: 2.231,1523
../smt-lib/LRA/scholl-smt08/RND/RND_6_27.smt2,57.523,2.452,Error: ../smt-lib/LRA/scholl-smt08/RND/RND_6_27.smt2 bind: unexpected result,11791
../smt-lib/LRA/scholl-smt08/RND/RND_3_19.smt2,0.070,1.857,Proofterm: 2.032,1583
../smt-lib/LRA/scholl-smt08/RND/RND_4_12.smt2,0.606,1.568,Proofterm: 3.913,3969
../smt-lib/LRA/scholl-smt08/RND/RND_3_9.smt2,0.030,1.375,Proofterm: 0.698,502
../smt-lib/LRA/scholl-smt08/RND/RND_3_15.smt2,0.027,1.656,Proofterm: 1.008,759
../smt-lib/LRA/tptp/NUM903=1.smt2,0.021,0.384,Proofterm: 0.076,30
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node6512.smt2,0.029,0.546,Proofterm: 0.484,79
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node47049.smt2,0.022,0.562,Proofterm: 0.451,89
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node684031.smt2,0.048,0.655,Proofterm: 0.542,101
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node403143.smt2,0.042,0.626,Proofterm: 0.473,89
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node453789.smt2,0.051,0.562,Proofterm: 0.447,89
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node23139.smt2,0.047,0.579,Proofterm: 0.497,79
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node422040.smt2,0.045,0.707,Proofterm: 0.535,101
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node419390.smt2,0.036,0.564,Proofterm: 0.476,79
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node422254.smt2,0.023,0.614,Proofterm: 0.490,90
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node62694.smt2,0.026,0.602,Proofterm: 0.515,105
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node683817.smt2,0.036,0.638,Proofterm: 0.488,101
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node432325.smt2,0.050,0.719,Proofterm: 0.465,105
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node25118.smt2,0.038,0.615,Proofterm: 0.458,87
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node58499.smt2,0.037,0.758,Proofterm: 0.726,166
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node412027.smt2,0.039,0.599,Proofterm: 0.407,89
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node405951.smt2,0.045,0.774,Proofterm: 0.641,166
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node681835.smt2,0.040,0.742,Proofterm: 0.703,166
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node432116.smt2,0.035,0.691,Proofterm: 0.523,116
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node24909.smt2,0.043,0.611,Proofterm: 0.439,87
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node26275.smt2,0.048,0.619,Proofterm: 0.468,77
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node25994.smt2,0.035,0.557,Proofterm: 0.460,87
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node461247.smt2,0.038,0.719,Proofterm: 0.646,166
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node683187.smt2,0.038,0.627,Proofterm: 0.397,89
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node22267.smt2,0.034,0.583,Proofterm: 0.439,89
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node688433.smt2,0.045,0.567,Proofterm: 0.392,89
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node63249.smt2,0.036,0.649,Proofterm: 0.517,116
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node396021.smt2,0.035,0.694,Proofterm: 0.502,101
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node5527.smt2,0.039,0.569,Proofterm: 0.455,89
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node412241.smt2,0.039,0.597,Proofterm: 0.455,89
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node412898.smt2,0.053,0.622,Proofterm: 0.498,89
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node404096.smt2,0.036,0.779,Proofterm: 0.679,166
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node431090.smt2,0.044,0.694,Proofterm: 0.626,116
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node16357.smt2,0.043,0.587,Proofterm: 0.490,89
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node404555.smt2,0.037,0.731,Proofterm: 0.497,116
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node683401.smt2,0.052,0.566,Proofterm: 0.473,89
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node431411.smt2,0.051,0.701,Proofterm: 0.425,116
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node679744.smt2,0.031,0.635,Proofterm: 0.486,79
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node454003.smt2,0.039,0.575,Proofterm: 0.437,79
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node62480.smt2,0.044,0.760,Proofterm: 0.513,116
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node47263.smt2,0.040,0.599,Proofterm: 0.480,79
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node22058.smt2,0.035,0.644,Proofterm: 0.480,89
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node6298.smt2,0.044,0.554,Proofterm: 0.463,89
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node464056.smt2,0.049,0.914,Proofterm: 0.656,167
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node404749.smt2,0.037,0.618,Proofterm: 0.527,105
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node84760.smt2,0.057,0.556,Proofterm: 0.478,87
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node431299.smt2,0.040,0.662,Proofterm: 0.535,116
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node86313.smt2,0.042,0.551,Proofterm: 0.449,87
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node15586.smt2,0.035,0.668,Proofterm: 0.551,89
../smt-lib/LRA/keymaera/intersection-example-simple.proof-node462796.smt2,0.034,0.531,Proofterm: 0.384,77
